Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.44  "
MaxChannel,30
GSStartCH,20
WLStartCH,30
MaxLogicChannel,8
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1min
Total data points,40        
Trigger,0         
Start time,2020-11-12,16:54:32
End time,2020-11-12,17:34:12
Trigger time,2020-11-12,16:54:38
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"M1-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,5,6,0
CH2,"M1-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],0,13,23,0
CH3,"M2-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],9,22,8,0
CH4,"M2-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],21,0,21,0
CH5,"C-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,16,2,0
CH6,"C-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],5,23,30,0
CH7,"M2-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],30,23,1,0
CH8,"M1-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,0,17,0
CH9,"M1-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],17,11,7,0
CH10,"M1-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],19,27,0,0
CH11,"M2-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],28,5,6,0
CH12,"M2-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
GS1," GS1","TH",TEMP,,,Off,+100.00,-10.00,[degC],28,5,6,0
GS2," GS2","TH",RH,100%,,Off,+100.00,+0.00,[%],0,13,23,0
GS3," GS3","TH",DEW,,,Off,+100.00,-10.00,[degC],9,22,8,0
GS4," GS4","TH",ATEMP,,,Off,+100,+0,[degCh],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,GS1,GS2,GS3,GS4,Alarm1-10,Alarm11-20,AlarmGS,AlarmOut
NO.,Time,ms,"V","V","V","V","V","V","V","V","degC","degC","degC","degC","degC","%","degC","degCh","A1234567890","A1234567890","A1234567890","AO1234"
         1,2020/11/12 16:54:38,  0,+ 2.878,+ 2.232,+ 2.893,+ 2.364,+ 2.952,+ 2.532,+ 2.492,+ 2.495,+  15.8,+  18.4,+  14.8,+  17.2,+ 19.24,+ 44.90,+  6.95,+     0 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         2,2020/11/12 16:55:38,  0,+ 2.881,+ 2.231,+ 2.895,+ 2.365,+ 2.960,+ 2.541,+ 2.492,+ 2.493,+  15.7,+  18.3,+  14.8,+  17.1,+ 19.24,+ 44.30,+  6.76,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         3,2020/11/12 16:56:38,  0,+ 2.884,+ 2.232,+ 2.898,+ 2.364,+ 2.965,+ 2.554,+ 2.490,+ 2.491,+  15.7,+  18.1,+  14.7,+  17.0,+ 19.24,+ 44.20,+  6.72,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         4,2020/11/12 16:57:38,  0,+ 2.888,+ 2.232,+ 2.901,+ 2.364,+ 2.969,+ 2.566,+ 2.488,+ 2.488,+  15.6,+  18.0,+  14.6,+  16.9,+ 19.14,+ 44.90,+  6.86,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         5,2020/11/12 16:58:38,  0,+ 2.891,+ 2.233,+ 2.905,+ 2.364,+ 2.972,+ 2.589,+ 2.486,+ 2.485,+  15.4,+  17.9,+  14.6,+  16.9,+ 19.04,+ 45.50,+  6.96,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         6,2020/11/12 16:59:38,  0,+ 2.894,+ 2.233,+ 2.906,+ 2.365,+ 2.977,+ 2.597,+ 2.485,+ 2.483,+  15.2,+  17.7,+  14.5,+  16.8,+ 18.96,+ 45.90,+  7.09,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         7,2020/11/12 17:00:38,  0,+ 2.898,+ 2.234,+ 2.911,+ 2.365,+ 2.976,+ 2.597,+ 2.483,+ 2.481,+  15.1,+  17.6,+  14.5,+  16.7,+ 18.90,+ 46.20,+  7.10,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         8,2020/11/12 17:01:38,  0,+ 2.902,+ 2.235,+ 2.915,+ 2.366,+ 2.980,+ 2.602,+ 2.483,+ 2.479,+  14.9,+  17.4,+  14.4,+  16.6,+ 18.87,+ 46.40,+  7.16,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         9,2020/11/12 17:02:38,  0,+ 2.905,+ 2.237,+ 2.919,+ 2.368,+ 2.979,+ 2.613,+ 2.481,+ 2.477,+  14.8,+  17.2,+  14.3,+  16.6,+ 18.84,+ 46.50,+  7.10,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
